web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505780-10941,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,RENTA DE DEPARTAMENTO A ESTRENAR  EN CENTRO SUR,"$16,999",2,"2
                                    
                                
                                Baños",92 m²
1620505636-10595,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,DEPARTAMENTO DE UNA HABITACIÓN EN  CENTRAL PARK (100 M2),"$17,000",1,"1
                                    
                                
                                Baño",100 m²
1620505681-10697,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,"DEPARTAMENTO AMUEBLADO EN ARCO DE PIEDRA JURICA QUERÉTARO. $25,000","$25,000",2,"2
                                    
                                
                                Baños",92 m²
1620505960-11403,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Un departamento especial que te está esperando - Biósfera Towers,"$22,000",2,"2
                                    
                                
                                Baños",118 m²
1620505796-10960,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Departamento en renta por la zona de El Mirador OFP 20 2410,"$14,000",2,"2
                                    
                                
                                Baños",122 m²
1620505796-10987,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Dos Deseos Fraccionamiento El Mirador,"$13,000",2,"3
                                    
                                
                                Baños",167 m²
1620505979-11443,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,DEPARTAMENTO EN RENTA EN JURIQUILLA DESARROLLO HANDIKO,"$21,000",2,"2
                                    
                                
                                Baños",153 m²
1620505969-11423,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,"RENTA DE DEPARTAMENTO EN JURIQUILLA BIOSFERA $19,500","$19,500",3,"3
                                    
                                
                                Baños",160 m²
1620505681-10694,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,Departamento en RENTA JURICA Queretaro Amueblado 2 Habitaciones Privada ARCO DE PIEDR...,"$20,000",2,"2
                                    
                                
                                Baños",92 m²
1620506023-11604,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,"SE RENTA DEPA EN JURIQUILLA, QUERÉTARO","$14,000",2,"2
                                    
                                
                                Baños",100 m²
1620505891-11201,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Renta departamento Refugio,"$12,500",2,"2
                                    
                                
                                Baños",92 m²
1620506008-11553,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Hermoso Departamento en Renta. Juriquilla. FVR,"$23,500",3,"3
                                    
                                
                                Baños",184 m²
1620505928-11311,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,RENTA DE DEPARTAMENTO CON 2 HABITACIONES EN JURIQUILLA,"$22,000",2,"4
                                    
                                
                                Baños",196 m²
1620505817-11013,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,Departamento en Milenio 3a. Sección,"$16,500",2,"2
                                    
                                
                                Baños",112 m²
1620505969-11409,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,DEPARTAMENTO EN RENTA AMUEBLADO JURIQUILLA,"$20,000",2,"2
                                    
                                
                                Baños",110 m²
1620505836-11085,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,"Departamento Amueblado en Renta en Milenio III, Qro","$9,500",1,"1
                                    
                                
                                Baño",50 m²
1620505725-10792,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento en renta en El Campanario OFP 20-248,"$25,000",2,"2
                                    
                                
                                Baños",76 m²
1620505725-10790,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento en El Campanario sin amoblar de 2 dormitorios! RAHQRO,"$25,000",2,"2
                                    
                                
                                Baños",76 m²
1620505988-11483,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento - Juriquilla,"$21,000",2,"2
                                    
                                
                                Baños",145 m²
1620505872-11179,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,Departamento en Renta EL REFUGIO Queretaro 3 habitaciones Amueblado con amenidades,"$18,000",3,"2
                                    
                                
                                Baños",170 m²
1620505796-10965,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,"Departamento a 5 min del Centro, 2 Rec. Edificio con Alberca, Gym, Seguridad 24","$11,500",2,"2
                                    
                                
                                Baños",85 m²
1620506023-11601,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,DEPARTAMENTO AMUEBLADO EN RENTA EN JURIQUILLA DESARROLLO HANDIKO,"$22,500",2,"2
                                    
                                
                                Baños",124 m²
1620505907-11245,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"Departamento en el Refugio de 3 dormitorios, principal con vestier y baño! GOC","$18,000",3,"3
                                    
                                
                                Baños",190 m²
1620505741-10836,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Bello departamento en renta en El Campanario OFP 20-245,"$20,500",1,"1
                                    
                                
                                Baño",50 m²
1620505853-11111,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"DEPARTAMENTO DE LUJO,  AMUEBLADO,  CON DOS LUGARES DE ESTACIONAMIENTO EN MILENIO III","$23,000",2,"2
                                    
                                
                                Baños",160 m²
1620505907-11261,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"Departamento en renta en Natuur, San José el Alto","$18,100",3,"2
                                    
                                
                                Baños",160 m²
1620506023-11611,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,RENTA DEPARTAMENTOS JURIQUILLA,"$13,000",2,"2
                                    
                                
                                Baños",107 m²
1620505346-10462,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,"Sin Amoblar Dúplex Lujos, Diseños de Calidad, Amenidades y Seguridad 24/7!","$18,500",2,"2
                                    
                                
                                Baños",100 m²
1620505997-11516,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,RENTA DEPARTAMENTOS AMUEBLADOS - LIFE - JURIQUILLA - QUERETARO,"$25,000",3,"2
                                    
                                
                                Baños",150 m²
1620505681-10680,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,RENTA DEPARTAMENTO NUEVO EN AIRA RESIDENCIAL JURICA,"$18,000",2,"2
                                    
                                
                                Baños",148 m²
1620505725-10797,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,CAMPANARIO 2 REC.  ESPECTACULAR VISTA,"$24,000",2,"2
                                    
                                
                                Baños",125 m²
1620505704-10747,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,DEPARTAMENTO EN ZONA CANDILES,"$7,500",2,"1
                                    
                                
                                Baño",79 m²
1620506023-11595,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,Departamento - Juriquilla,"$38,500",3,"3
                                    
                                
                                Baños",240 m²
1620505907-11250,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,Departamento en El Refugio de 3 dormitorios sin amoblar y 95 mts2! RAHQRO,"$12,200",3,"3
                                    
                                
                                Baños",95 m²
1620505346-10463,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Departamento en Renta a estrenar,"$15,000",3,"2
                                    
                                
                                Baños",125 m²
1620506030-11639,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,Departamento en fray junipero serra de 2 dormitorios y seguridad! Goc,"$7,500",2,"2
                                    
                                
                                Baños",73 m²
1620506014-11572,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,VIVE EN JURIQUILLA CONOCE ESTE INCREIBLE DEPARTAMENTO,"$18,500",3,"2
                                    
                                
                                Baños",177 m²
1620505817-11030,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,Renta Departamento Milenio lll,"$25,000",2,"2
                                    
                                
                                Baños",120 m²
1620505979-11447,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,"Departamento en Renta, en Juriquilla, Querétaro","$16,000",3,"2
                                    
                                
                                Baños",90 m²
1620505613-10564,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Departamento en renta de 87 mts2 amoblado en Centro Sur! RAHQRO,"$21,000",2,"2
                                    
                                
                                Baños",87 m²
1620505346-10468,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA  -  QUERETARO - JURIQUILLA,"$13,500",2,"2
                                    
                                
                                Baños",100 m²
1620505636-10617,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,Departamento amueblado de 3 recamaras central park torre 100,"$30,000",3,"3
                                    
                                
                                Baños",250 m²
1620505907-11256,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,Departamento en renta amueblado en el refugio queretaro,"$14,000",3,"2
                                    
                                
                                Baños",105 m²
1620505988-11490,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,DEPARTAMENTO PENT HOUSE EN RENTA  - QUERETARO - JURIQUILLA,"$19,000",2,"3
                                    
                                
                                Baños",135 m²
1620506008-11545,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento nuevo en renta en Biosfera Towers Juriquilla,"$18,000",3,"2
                                    
                                
                                Baños",175 m²
1620505853-11123,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Departamento en Renta, en Milenio 3a. Sección, Querétaro","$15,500",3,"2
                                    
                                
                                Baños",135 m²
1620505907-11260,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,"Departamento en renta en privalia ambienta, de 2 recamaras y 2 banos.","$6,500",2,"2
                                    
                                
                                Baños",74 m²
1620505613-10565,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Bello Departamento Amueblado Ofp 19-286,"$22,500",2,"2
                                    
                                
                                Baños",85 m²
1620505969-11433,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Ph juriquilla towers,"$42,000",3,"3
                                    
                                
                                Baños",202 m²
1620505907-11253,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,PENTHOUSE EN RENTA EN NATUUR REFUGIO,"$21,000",4,"3
                                    
                                
                                Baños",176 m²
1620506023-11603,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,Departamento sin amoblar en Fray Junipero Serra de 2 dormitorios! GOC 19-2058,"$7,500",2,"2
                                    
                                
                                Baños",73 m²
1620505704-10762,https://www.lamudi.com.mx/queretaro-arteaga/corregidora/el-pueblito-13/departamento/for-rent/,Departamento en Puerta Real,"$9,500",3,"2
                                    
                                
                                Baños",110 m²
1620505817-11015,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,"DEPARTAMENTO EN RENTA EN MONTEBELLO TOWERS, MILENIO III","$23,000",2,"2
                                    
                                
                                Baños",134 m²
1620505817-11023,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,RENTA DE DEPARTAMENTO AMUEBLADO Y EQUIPADO EN MILENIO III,"$16,321",3,"2
                                    
                                
                                Baños",112 m²
1620505346-10478,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Departamento en Renta ubicado en Ambar Tower Cumbres del Lago,"$18,000",2,"2
                                    
                                
                                Baños",135 m²
1620505872-11165,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,RENTA DEPARTAMENTO EN REFUGIO BOJAI,"$14,500",3,"2
                                    
                                
                                Baños",70 m²
1620505969-11419,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,"Departamento en Renta en Juriquilla $17,500","$17,500",2,"2
                                    
                                
                                Baños",160 m²
1620506030-11651,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,LOFT EN RENTA NAUTICO JURIQUILLA AMUEBLADO,"$14,000",1,"1
                                    
                                
                                Baño",55 m²
1620505660-10676,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,Departamento en Centro Sur,"$17,000",1,"1
                                    
                                
                                Baño",105 m²
1620506008-11533,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,DEPARTAMENTO en RENTA en JURIQUILLA QUERETARO 3 recámaras y AMENIDADES,"$15,500",3,"2
                                    
                                
                                Baños",127 m²
1620505836-11082,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,RENTA DEPARTAMENTO PLANTA BAJA MILENIO III,"$12,000",2,"2
                                    
                                
                                Baños",100 m²
1620506030-11636,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,Departamento - Juriquilla,"$19,800",2,"2
                                    
                                
                                Baños",100 m²
1620505853-11115,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Departamento en Renta, en Milenio 3a. Sección, Querétaro","$12,800",3,"3
                                    
                                
                                Baños",135 m²
1620505636-10613,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,Departamento en renta AMUEBLADO en Koloria CENTRO SUR QUERETARO,"$15,000",1,"1
                                    
                                
                                Baño",70 m²
1620505796-10978,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,RENTA DEPARTAMENTO AMUEBLADO 2 RECAMARAS 2 BAÑOS EN EL MIRADOR,"$15,500",2,"2
                                    
                                
                                Baños",122 m²
1620505907-11258,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,BONITOS Y AMPLIOS DEPARTAMENTOS,"$10,000",3,"2
                                    
                                
                                Baños",102 m²
1620506008-11534,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,HERMOSO DEPARTAMENTO AMUEBLADO EN RENTA UBICADO EN JURIQUILLA TOWERS !!,"$30,000",2,"2
                                    
                                
                                Baños",128 m²
1620505853-11116,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,Excelente Ph en Renta,"$17,500",2,"2
                                    
                                
                                Baños",163 m²
1620505928-11315,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"Departamentos de lujo en AMBAR TOWER dentro de Cumbres del Lago, Juriquilla!","$22,000",4,"3
                                    
                                
                                Baños",171 m²
1620505988-11484,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento - Juriquilla,"$18,500",2,"2
                                    
                                
                                Baños",160 m²
1620506014-11573,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Renta Departamento Amueblado En Juriquilla Santa Fe  1 Dormitorio,"$22,500",1,"2
                                    
                                
                                Baños",98 m²
1620505988-11495,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Fray Junipero departamento en renta de 2 recamaras!,"$17,000",2,"3
                                    
                                
                                Baños",130 m²
1620505741-10834,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Adamant Piso 10,"$14,500",2,"2
                                    
                                
                                Baños",73 m²
1620506030-11638,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,"Departamento en renta en Juriquilla, Querétaro","$15,000",2,"2
                                    
                                
                                Baños",91 m²
1620506008-11544,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,"BIOSFERA JURIQUILLA ,DEPARTAMETO DE 2 HABITACIONES .","$15,000",2,"2
                                    
                                
                                Baños",95 m²
1620505796-10958,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,"Departamento en renta mirador, planta alta","$8,000",3,"2
                                    
                                
                                Baños",90 m²
1620505942-11334,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"Departamento en Renta amueblado, en Biosfera Juriquilla con 2 recamaras y Balcón","$18,000",2,"2
                                    
                                
                                Baños",90 m²
1620505997-11525,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,"$25,000",2,"2
                                    
                                
                                Baños",180 m²
1620506008-11536,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,"DEPARTAMENTO en RENTA, PLANTA BAJA, ESTUPENDA UBICACION y ESPACIOS","$16,500",3,"2
                                    
                                
                                Baños",173 m²
1620505853-11117,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,Renta Departamento Milenio lll,"$25,000",2,"2
                                    
                                
                                Baños",120 m²
1620505997-11523,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,DEPARTAMENTO EN RENTA AMUEBLADO EN LIFE  JURIQUILLA,"$23,500",3,"2
                                    
                                
                                Baños",130 m²
1620505725-10798,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento en Renta en Lomas del Marqués 1 Rec 1 Baño,"$12,900",1,"1
                                    
                                
                                Baño",70 m²
1620505942-11328,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"Departamento Amueblado y Equipado en Juriquilla, Renta","$15,500",2,"2
                                    
                                
                                Baños",110 m²
1620505817-11024,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,IRR Departamento Amueblado en Renta en Milenio III,"$16,000",3,"2
                                    
                                
                                Baños",133 m²
1620505942-11339,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"DEPARTAMENTO EN RENTA EN REAL DE JURIQUILLA, AMUEBLADO","$17,500",3,"2
                                    
                                
                                Baños",120 m²
1620505997-11526,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Oportunidad departamento en renta Juriquilla Querétaro,"$11,500",3,"2
                                    
                                
                                Baños",97 m²
1620505988-11486,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Lindo Departamenteo en Renta en Juriquilla Aqc,"$22,500",2,"2
                                    
                                
                                Baños",94 m²
1620505741-10835,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Departamento sin amueblar en El Campanario de 76 mts2! RCS,"$25,000",2,"2
                                    
                                
                                Baños",76 m²
1620505725-10810,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,DEPARTAMENTO AMUEBLADO EN RENTA EN QUERETARO SIERRA AZUL,"$29,500",3,"3
                                    
                                
                                Baños",160 m²
1620506023-11620,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,"Planta baja con 2 dormitorios y buena ubicación, departamento sin amueblar! RAH","$7,400",2,"2
                                    
                                
                                Baños",72 m²
1620505817-11018,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,RENTA DEPARTAMENTOS AMUEBLADOS EN MILENIO III QUERETARO,"$15,000",3,"2
                                    
                                
                                Baños",111 m²
1620505780-10942,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,"RENTA DEPARTAMENTO CENTRO SUR, CERCA DE LA SALIDA A MEXICO ROOF GARDEN GIMNASIO.","$16,000",3,"2
                                    
                                
                                Baños",110 m²
1620505660-10670,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,"Departamento en renta, Distrito Piamonte","$22,000",2,"2
                                    
                                
                                Baños",87 m²
1620506023-11618,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,Departamento - Juriquilla,"$11,000",2,"2
                                    
                                
                                Baños",90 m²
1620505853-11099,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Departamento en renta  en Milenio III, Qro.","$17,500",3,"3
                                    
                                
                                Baños",170 m²
1620505960-11385,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,"DEPARTAMENTO EN RENTA EN LIFE JURIQUILLA, DOS RECÁMARAS","$15,000",2,"2
                                    
                                
                                Baños",119 m²
1620505928-11295,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,DEPARTAMENTO AMUEBLADO EN RENTA SOBRE BLVD DE LA CAMPANA EN JURIQUILLA QUERETARO,"$18,500",2,"2
                                    
                                
                                Baños",100 m²
1620505907-11249,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=1,HERMOSO DEPARTAMENTO NUEVO EN RENTA AMUEBLADO UBICADO EN ALTERA TOWERS !!,"$17,500",3,"2
                                    
                                
                                Baños",128 m²
1620505872-11170,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,Renta departamento Refugio,"$12,500",2,"2
                                    
                                
                                Baños",92 m²
1620505761-10896,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"CAMPANARIO SIERRA AZUL, LOFT AMUEBLADO EN RENTA","$18,500",1,"1
                                    
                                
                                Baño",67 m²
1620505891-11194,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,"RENTO DEPARTAMENTO QUERETARO FRACC,PRIVALIA AMBIENTA IDEAL ROMMIES UBICADISIMO","$7,000",2,"2
                                    
                                
                                Baños",73 m²
1620506014-11586,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,"RENTA de Departamento amueblado de lujo en Juriquilla Towers, Queretaro","$32,000",3,"3
                                    
                                
                                Baños",174 m²
1620505613-10553,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,DEPARTAMENTO EN RENTA EN TORRE 300 CENTRAL PARK QUERÉTARO,"$17,000",2,"2
                                    
                                
                                Baños",102 m²
1620505891-11190,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,RENTA DEPARTAMENTOS AMUEBLADOS - NATURR- EL REFUGIO - QUERETARO,"$20,000",2,"2
                                    
                                
                                Baños",90 m²
1620505988-11473,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Fray Junipero Serra departamento a estrenar de 2 recamaras!,"$17,000",2,"3
                                    
                                
                                Baños",130 m²
1620505969-11435,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Departamento en renta NUEVO en Biogrand JURIQUILLA,"$10,500",2,"2
                                    
                                
                                Baños",85 m²
1620505741-10845,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Renta depa completamente amueblado en condominio de lujo en El Campanario JF,"$20,500",1,"1
                                    
                                
                                Baño",40 m²
1620505613-10556,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,DEPARTAMENTO EN RENTA EN CENTRAL PARK,"$38,000",3,"4
                                    
                                
                                Baños",270 m²
1620505960-11402,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,"Hermoso departamento amueblado en Querétaro, Juriquilla","$21,000",2,"2
                                    
                                
                                Baños",186 m²
1620505346-10464,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA CON ALBERCA EN CUMBRES DEL LAGO JURIQUILLA,"$19,500",3,"2
                                    
                                
                                Baños",125 m²
1620505960-11389,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Departamento Amueblado en Renta  Juriquilla - Cercano a Fresko y UVM,"$11,500",3,"1
                                    
                                
                                Baño",114 m²
1620505928-11304,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,RENTA DE DEPARTAMENTO 2 HABITACIONES VISTA DIAMANTE,"$22,000",2,"4
                                    
                                
                                Baños",196 m²
1620506008-11539,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento amueblado cerca de UVM en renta Queretaro,"$14,000",2,"2
                                    
                                
                                Baños",160 m²
1620505761-10892,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,PRECIOSO DEPARTAMENTO DE LUJO PARA EJECUTIVOS AMUEBLADO,"$16,000",1,"1
                                    
                                
                                Baño",85 m²
1620506030-11646,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,JURIQUILLA RENTA DEPARTAMENTO 3 RECAMARAS COCINA EQUIPADA ALBERCA GYM,"$20,500",3,"2
                                    
                                
                                Baños",126 m²
1620505988-11496,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento sin amoblar en Fray Junipero Serra de 2 dormitorios! RAHQRO,"$22,000",2,"3
                                    
                                
                                Baños",130 m²
1620505741-10841,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,EL CAMPANARIO DEPA EN RENTA 2 RECAMARAS EDF CON ALBERCA LUDOTECA GYM,"$25,000",2,"2
                                    
                                
                                Baños",76 m²
