web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505660-10671,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,RENTA DE DEPARTAMENTO AMUEBLADO NUEVO ZONA CENTRO SUR,"$19,000",2,"2
                                    
                                
                                Baños",93 m²
1620505891-11192,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,DEPARTAMENTO NUEVO EN RENTA EN NATUUR TOWERS EN ZONA DE EL REFUGIO,"$18,000",3,"2
                                    
                                
                                Baños",160 m²
1620505681-10695,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/departamento/for-rent/,RENTA DEPARTAMENTO ARCO DE PIEDRA JURICA,"$24,000",3,"2
                                    
                                
                                Baños",175 m²
1620505660-10664,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,Departamento sin Amoblar en Centro Sur de 2 Dormitorios! Rahqro,"$14,000",2,"2
                                    
                                
                                Baños",87 m²
1620506008-11540,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento con bonita vista en Altos de Juriquilla de 109 mts2! JGJ,"$14,500",2,"2
                                    
                                
                                Baños",109 m²
1620505988-11491,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Departamento amueblado - Tu hogar rodeado de belleza natural - Múltiples y diversos e...,"$38,000",3,"3
                                    
                                
                                Baños",161 m²
1620505817-11014,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=3,DEPTO EN MILENIO LOS MEJORES ATARDECERES,"$15,000",3,"2
                                    
                                
                                Baños",125 m²
1620505780-10950,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Renta departamento a solo unos minutos del Centro de la ciudad AGT,"$13,000",1,"1
                                    
                                
                                Baño",55 m²
1620505796-10961,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,Departamento en renta a estrenar en RES del PARQUE,"$11,500",2,"2
                                    
                                
                                Baños",85 m²
1620506014-11584,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,DEPARTAMENTO PENTHOUSE EN RENTA EN BIOSFERA TOWERS EN JURIQUILLA CON VISTA,"$28,000",3,"4
                                    
                                
                                Baños",178 m²
1620506014-11569,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,HERMOSO DEPARTAMENTO AMUEBLADO EN RENTA UBICADO EN JURIQUILLA,"$38,000",3,"2
                                    
                                
                                Baños",224 m²
