web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620520353-14304,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=6,"Preciosa Casa en EL REFUGIO, En Privada con Alberca, 3 Recamaras, 2.5 Baños","$2,550,000",2,2,122
1620503895-8902,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,"Exclusiva Residencia en Venta en Arco de piedra, Querétaro","$6,200,000",3,2.5,266
1620511285-12223,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=2,"Preciosa Casa en Milenio III, Esquina, Privada, Alberca, 4 Recamaras, 3 Niveles","$4,190,000",3,4,269
1620522490-14529,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=9,Casa en venta El Mirador 3 habitaciones JGCC,"$2,400,000",3,2.5,120
1620521097-14382,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=4,Casa en venta El Refugio 3 habitaciones FVR,"$2,380,000",3,3,110
1620510733-12141,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=4,"Preciosa Casa en Milenio III, Roof Garden, Alberca, 3 Recamaras, Estudio, LUJO !","$3,350,000",2,2,200
1620520529-14323,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=6,Casa en El Refugio con Roof Garden de 4 recamaras! GOC 20-3373,"$2,700,000",2,4,166
1620503260-8829,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=1,CASA EN VENTA EN CONDOMINIO EN CENTRO SUR,"$5,550,000",3,4.5,180
1620502109-7910,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=1,VENTA DECASA EN CUMBRES DEL LAGO JURIQUILLA,"$6,450,000",3,5,351
1620511090-12193,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=3,CASA EN VENTA MILENIO III   (OPCION DE 5a  RECAMARA),"$2,850,000",3,3,260
1620502842-7948,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=3,HERMOSA CASA EN CENTRO SUR,"$5,800,000",3,4,359.18
1620510181-12081,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=6,Casa en venta Querétaro. Milenio lll,"$6,800,000",3,5,480
1620520844-14356,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=5,"VENTA DE CASA EN QUERÉTARO, FRACCIONAMIENTO EL REFUGIO, 2 PLANTAS, 3 RECÁMARAS","$2,750,000",3,2,180
1620516784-13917,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=19,Casa con ROOF GARDEN en privada en EL REFUGIO,"$2,720,000",2,2,164
1620525970-14853,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=8,CASA EN VENTA EN EL FRACC. EL CAMPANARIO QRO.,"$19,300,000",3,3,574
1620501022-7771,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=6,"Cómoda casa en Cumbres del Lago de 255 mts2, 3 dormitorios con su baño! JPC","$4,100,001",3,4,212
