web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food
"1616638726-7682","https://www.rappi.com.mx/restaurantes/category/pizza","Toreto's Pizza","4.6","Toreto's Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923210196","159","Pizza Familiar Tej"
"1616638295-7363","https://www.rappi.com.mx/restaurantes/category/pizza","Bastard Pizzas Burgers N Shakes","null","Bastard Pizzas Burgers N Shakes  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923279289","163","Hamburguesa Mr Jack"
"1616638246-7313","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Cheve","null","Mi Cheve  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923264492","670","Parrillada para 4 Personas"
"1616638217-7286","https://www.rappi.com.mx/restaurantes/category/pizza","El Monchis Snacks & Cheves","null","El Monchis Snacks & Cheves  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923268739","195","Tecate Light Six Pack 355 ml"
"1616638295-7371","https://www.rappi.com.mx/restaurantes/category/pizza","Bastard Pizzas Burgers N Shakes","null","Bastard Pizzas Burgers N Shakes  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923279289","136","Pasta 4 Quesos"
"1616638726-7672","https://www.rappi.com.mx/restaurantes/category/pizza","Toreto's Pizza","4.6","Toreto's Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923210196","159","Pizza Familiar Jamón y Piña"
"1616638667-7615","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino´s Pizza","null","Tonino´s Pizza  Pizza ,  Mexicana  37 min ● $40  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306702090","196","Carpaccio de Salmón"
"1616638726-7671","https://www.rappi.com.mx/restaurantes/category/pizza","Toreto's Pizza","4.6","Toreto's Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923210196","159","Pizza Familiar Brayan"
"1616638373-7442","https://www.rappi.com.mx/restaurantes/category/pizza","null","null","Pizzaburger  Hamburguesas ,  Pizza  29 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923273548","",""
"1616638726-7720","https://www.rappi.com.mx/restaurantes/category/pizza","Toreto's Pizza","4.6","Toreto's Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923210196","45","Pizza Personal Hobbs"
"1616638726-7680","https://www.rappi.com.mx/restaurantes/category/pizza","Toreto's Pizza","4.6","Toreto's Pizza  4.6  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923210196","159","Pizza Familiar Letty"
