web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food
"1616634838-9048","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.8","Little Caesars  4.8  Pizza  50 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306716078","489","Combo Trío Especialidad"
"1616634751-8709","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria la Nonna Mirador","4.7","Trattoria la Nonna Mirador  4.7  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251707","148","Pasta Emiliana"
"1616634732-8644","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza","null","Abuelitas Pizza  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923220653","248","Pizza Vigilia"
"1616634799-8936","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.3","Pizzeta  4.3  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923219285","13","Helado Apolo"
"1616634628-8299","https://www.rappi.com.mx/restaurantes/category/pizza","Cardosanto Pizza","null","Cardosanto Pizza  Pizza  45 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923327523","205","Pizza Serrano"
"1616634761-8788","https://www.rappi.com.mx/restaurantes/category/pizza","La Gabella","null","La Gabella  Pizza  38 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306715407","215","Chilorio"
"1616634838-9074","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.8","Little Caesars  4.8  Pizza  50 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306716078","15","Caesar Dips"
"1616634599-8165","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","null","Diktatur  Pizza ,  Wings  48 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923244939","50","Perro Tropical"
"1616634484-7832","https://www.rappi.com.mx/restaurantes/category/pizza","Piix Café","null","Piix Café  Pizza ,  Desayunos  42 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923234194","30","Fresca Toronja 355 ml"
"1616634799-8918","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.3","Pizzeta  4.3  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923219285","130","Pizzapizza lo Doble de Especial"
"1616634503-7866","https://www.rappi.com.mx/restaurantes/category/pizza","Rio Quintana","null","Rio Quintana  Pizza  35 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923274869","198","Pizza Margherita"
"1616634484-7778","https://www.rappi.com.mx/restaurantes/category/pizza","Piix Café","null","Piix Café  Pizza ,  Desayunos  42 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923234194","86","Ciabatta de Pollo a la Plancha"
"1616634484-7755","https://www.rappi.com.mx/restaurantes/category/pizza","Piix Café","null","Piix Café  Pizza ,  Desayunos  42 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923234194","116","Paquete Huevos al Gusto"
"1616634799-8937","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.3","Pizzeta  4.3  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923219285","45","Helado Micha Napolitano"
"1616634713-8546","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria La Nonna","null","Trattoria La Nonna  Pizza ,  Italiana  38 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701882","216","Salmone Aglio E Burro"
"1616634484-7836","https://www.rappi.com.mx/restaurantes/category/pizza","Piix Café","null","Piix Café  Pizza ,  Desayunos  42 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923234194","30","Coca-Cola Original 355 ml"
"1616634532-7965","https://www.rappi.com.mx/restaurantes/category/pizza","Papa Johns","null","Papa Johns  Pizza  29 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923279267","235","Pizza All the Meats"
"1616634484-7774","https://www.rappi.com.mx/restaurantes/category/pizza","Piix Café","null","Piix Café  Pizza ,  Desayunos  42 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923234194","80","Sándwich Francés"
