web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food
"1616628097-8495","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria La Nonna","null","Trattoria La Nonna  Pizza ,  Italiana  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701882","174","Pizza Funghi E Prosciutto"
"1616628039-8060","https://www.rappi.com.mx/restaurantes/category/pizza","California Pizza Kitchen","null","California Pizza Kitchen  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306716814","219","CPK Angus Burger"
"1616628050-8172","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","4.3","Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923221544","50","Perro Caliente Real de Catorce"
"1616628102-8564","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Italia","null","La Piccola Italia  Pizza ,  Italiana  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990005617","95","Olive Speciali"
"1616628107-8633","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino´s Pizza","null","Tonino´s Pizza  Pizza ,  Mexicana  34 min ● $31  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701992","220","Camarón en Salsa de Ajo"
"1616628147-8817","https://www.rappi.com.mx/restaurantes/category/pizza","Santa Fortuna","null","Santa Fortuna  Pizza ,  Desayunos  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923213865","135","Ensalada Capresse"
"1616628091-8479","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","null","Piu Pizza  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923219414","70","Panini Vegetarianos"
"1616628027-7960","https://www.rappi.com.mx/restaurantes/category/pizza","La Vieja Varsovia","null","La Vieja Varsovia  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704330","124","Pizza Queso de Cabra con Espinaca"
"1616628057-8259","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  42 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","150","Pizza Quattro Formaggi"
"1616628069-8337","https://www.rappi.com.mx/restaurantes/category/pizza","Il Pizzaiolo Qro","4.2","Il Pizzaiolo Qro  4.2  Pizza  34 min ¡92% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923257737","39","Ciel Mineral 600 ml"
"1616628050-8175","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","4.3","Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923221544","50","Perro Tropical"
"1616628044-8103","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza","4.5","Abuelitas Pizza  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923220313","248","Pizza Hawaiana"
"1616628113-8674","https://www.rappi.com.mx/restaurantes/category/pizza","Brutus Pizza","4.8","Brutus Pizza  4.8  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204648","149","Boneless 400grs"
"1616628183-9138","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8","Tonino's Pizza  4.8  Pizza  37 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222036","40","Empanada de Champiñones con Queso"
"1616628113-8668","https://www.rappi.com.mx/restaurantes/category/pizza","Brutus Pizza","4.8","Brutus Pizza  4.8  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204648","229","Pizza suprema"
"1616628125-8723","https://www.rappi.com.mx/restaurantes/category/pizza","Napoli Pizza Plaza Callao","null","Napoli Pizza Plaza Callao  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923259633","25","Mirinda Naranja 600 ml"
"1616628097-8548","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria La Nonna","null","Trattoria La Nonna  Pizza ,  Italiana  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701882","63","Flan Napolitano"
"1616628171-9044","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5","Pizza Hut   4.5  Pizza  32 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990007604","99","Combo Pizza Personal"
"1616628039-8070","https://www.rappi.com.mx/restaurantes/category/pizza","California Pizza Kitchen","null","California Pizza Kitchen  Pizza  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306716814","239","Pizza BBQ Chicken"
"1616627994-7803","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null","Little Rome Pizza   Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923233463","20","Aderezos"
"1616628171-9071","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5","Pizza Hut   4.5  Pizza  32 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990007604","22","Coca Cola Light 600 ml"
"1616628069-8309","https://www.rappi.com.mx/restaurantes/category/pizza","Il Pizzaiolo Qro","4.2","Il Pizzaiolo Qro  4.2  Pizza  34 min ¡92% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923257737","138","Salsiccia"
"1616628158-8939","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.5","Pizzeta  4.5  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923219281","100","Pizza Sinaloense"
"1616627994-7812","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null","Little Rome Pizza   Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923233463","30","Sidral Mundet 600 ml"
"1616628050-8159","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","4.3","Diktatur  4.3  Pizza ,  Wings  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923221544","50","Pizza Caribeña"
