web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food
"1616626811-5513","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","La Campana Café Bistro","https://www.ubereats.com/queretaro/food-delivery/la-campana-cafe-bistro/TH9gPREJT3Wb-QAmQ9pWZA","La Campana Café Bistro","null","null","MX$129.00","Waffle dulce de 2 ingredientes"
"1616626832-5786","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","Piacere Italiano","https://www.ubereats.com/queretaro/food-delivery/piacere-italiano/HSuEfxltTaa-3PzCacuFRQ","Piacere Italiano","4.4","(99)","MX$180.00","Tartare di Tonno"
"1616626780-5294","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","Monkey Asado","https://www.ubereats.com/queretaro/food-delivery/monkey-asado/A5OCC8TGRl67IS3xbR_JwA","Monkey Asado","3.8","(15)","MX$210.00","Hamburguesa gran Monkey"
"1616626852-5907","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","Pizza Rotonda","https://www.ubereats.com/queretaro/food-delivery/pizza-rotonda/OH1CtB3kTWWC4sivEsfulg","Pizza Rotonda","null","null","MX$89.00","Pizza tradicional pepperoni"
"1616626811-5437","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","La Campana Café Bistro","https://www.ubereats.com/queretaro/food-delivery/la-campana-cafe-bistro/TH9gPREJT3Wb-QAmQ9pWZA","La Campana Café Bistro","null","null","MX$79.00","Capuchino"
"1616626832-5795","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","Piacere Italiano","https://www.ubereats.com/queretaro/food-delivery/piacere-italiano/HSuEfxltTaa-3PzCacuFRQ","Piacere Italiano","4.4","(99)","MX$155.00","Pasta al Pomodoro"
"1616626839-5849","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","La Martinica","https://www.ubereats.com/queretaro/food-delivery/la-martinica/rvVKJ0ArSBW1gRSHgUgZYQ","La Martinica","4.8","(25)","MX$230.00","Pizza Prosciutto"
"1616626826-5774","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","La Campana Café & Bistro Las Trojes","https://www.ubereats.com/queretaro/food-delivery/la-campana-cafe-%26-bistro-las-trojes/E2FJ1_AZTD-INZNwQuKuFg","La Campana Café & Bistro Las Trojes","4.5","(33)","MX$139.00","Waffle salado de 3 ingredientes"
"1616626845-5890","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","La neta alas y chelas","https://www.ubereats.com/queretaro/food-delivery/la-neta-alas-y-chelas/q2_fVLECSyyjG95ygSTXFA","La neta alas y chelas","4.4","(27)","MX$185.00","Pizza hawaina"
"1616626826-5773","https://www.ubereats.com/search?ps=1&q=pizza%20zapatas&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkJhbHZhbmVyYSUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUprWVoxR0hSUDA0VVIyWkJJdWhlRnF2VSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41MzM1NzM4JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NTc5MjElN0Q%3D","La Campana Café & Bistro Las Trojes","https://www.ubereats.com/queretaro/food-delivery/la-campana-cafe-%26-bistro-las-trojes/E2FJ1_AZTD-INZNwQuKuFg","La Campana Café & Bistro Las Trojes","4.5","(33)","MX$129.00","Waffle salado de 2 ingredientes"
