web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food
"1616631760-4808","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","Experiencia Gourmet Liverpool (Antea)","https://www.ubereats.com/queretaro/food-delivery/experiencia-gourmet-liverpool-antea/6qOe2e5xS6mwyaaXbfP8uQ","Experiencia Gourmet Liverpool (Antea)","4.5","(80)","MX$137.00","Focaccia de Jamón Serrano y Mozzarela"
"1616631856-5795","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","Chedraui Selecto (Juriquilla)","https://www.ubereats.com/queretaro/food-delivery/chedraui-selecto-juriquilla/FIvGxciuSpK4Ww0oA0MYZQ","Chedraui Selecto (Juriquilla)","null","null","MX$68.00","Healthy Ciabatta To Go"
"1616631682-3899","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","Circle K 🛒 (Que Juriquilla Ii 972)","https://www.ubereats.com/queretaro/food-delivery/circle-k-que-juriquilla-ii-972/M5K5yR7oSdK0gUNBYUJofw","Circle K 🛒 (Que Juriquilla Ii 972)","4.7","(27)","MX$19.50","CERVEZA CORONA LATON 473ML"
"1616631720-4354","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","El Globo Juriquilla","https://www.ubereats.com/queretaro/food-delivery/el-globo-juriquilla/VedljELtTfC_fyaxsbZRkA","El Globo Juriquilla","4.7","(220)","MX$24.00","Banderilla"
"1616632057-6628","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","El Hornero","https://www.ubereats.com/queretaro/food-delivery/el-hornero/KZF4E3xhStycYtW-rT2Cbg","El Hornero","4.6","(116)","MX$185.00","Pizza personal de Alcachofa y Arugula"
"1616631682-3916","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","Circle K 🛒 (Que Juriquilla Ii 972)","https://www.ubereats.com/queretaro/food-delivery/circle-k-que-juriquilla-ii-972/M5K5yR7oSdK0gUNBYUJofw","Circle K 🛒 (Que Juriquilla Ii 972)","4.7","(27)","MX$10.00","NP03 A sólo $10.00 ( G active 500m Levite Infusiones Bonafo"
"1616631682-4214","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","Circle K 🛒 (Que Juriquilla Ii 972)","https://www.ubereats.com/queretaro/food-delivery/circle-k-que-juriquilla-ii-972/M5K5yR7oSdK0gUNBYUJofw","Circle K 🛒 (Que Juriquilla Ii 972)","4.7","(27)","MX$19.50","NEW MIX MARGARITA 350ML"
"1616631553-3582","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","Panio (Antea Lifestyle Center)","https://www.ubereats.com/queretaro/food-delivery/panio-antea-lifestyle-center/ZjnEOTDqSsKyP9GtTTxeGQ","Panio (Antea Lifestyle Center)","null","(17)","MX$75.00","Croissant con jamon y queso"
"1616632057-6652","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","El Hornero","https://www.ubereats.com/queretaro/food-delivery/el-hornero/KZF4E3xhStycYtW-rT2Cbg","El Hornero","4.6","(116)","MX$295.00","Pizza Fugazza"
"1616631868-5835","https://www.ubereats.com/search?ps=1&q=Pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJDaElKa2U0N0YyWlgwNFVSR0FYcXY2OWVlOW8lMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIyZ29vZ2xlX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjk2MjA4NCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDUwNjU4NyU3RA%3D%3D","BRIOCHE","https://www.ubereats.com/queretaro/food-delivery/brioche/k8gQHwpWQpCZym__SUYKgw","BRIOCHE","4.6","(144)","MX$40.00","DONA"
